Unnamed: 0,Model,rating,title,review_text
10,Samsung s20,3.0 out of 5 stars,"3.0 out of 5 stars
Not a flagship. And very costly
","
I was using one plus 6t. After using for 2 years wanted to upgrade. Because of personal choice of boycott China.  Went for Samsung after 7 years. And what did I get.Pros:1. Beautiful  look.2. No lag3. Smooth interface.4. Multiple features.5. Superfast chargingCons:1. Pathetic battery backup2. Camera is similar to oneplus 6t. No new feature.3. 30x zoom lacks any clarity, the images are so Pixelated.4. The touch sensor is not so smooth.5. Face unlock is inferior to one plus 6t.6. Screen size is smaller.7. Notification  ringtones per app is not possible.8. Not a worthy upgrade. Should have gone for a series.Still won't suggest to buy one plus, vivo, oppo, redmi, realme, pocco.
"
11,Samsung s20,4.0 out of 5 stars,"4.0 out of 5 stars
Wait for more reviews and comments before buying!
","
I have to the say the 120Hz display is awesome. It definitely gives the feel that the phone is fasters and smoother. Camera is definitely in the top 3 but still not the best in this range. Need works on the fingerprint reader which is a bit slow which is against the general theme of the phone I would say. Battery life is just okay. It gets me through the day with my usage.And why I would say to wait for more reviews. I'm facing heating issues with normal usage. It went upto 39 degC with 10-15 min of VoLTE call and it reached a staggering 46 degC when I started recording 8K video and camera stoped itself saying temp is too high. I'm in talks with Amazon to get a replacement since I think the very least my device is faulty. Will update more on it here later.
"
12,Samsung s20,3.0 out of 5 stars,"3.0 out of 5 stars
Samsung's substandard Exynos dumpyard is India🙁
","
It's a perfect phone if it had the Snapdragon chip.I loved the phone but a chip which can't take load of a the phone is a joke .. paying for the flagship and Samsung cheating again with us a substandard chip for the same price .Result? Heating issues ,low battery,camera app freezes after 20 mins of usage due to excessive heating of phone after n number of updates it can't be solved as we already know the chip is never gonna be better .Not gonna buy a Samsung phone unless they change this exynos joke
"
13,Samsung s20,4.0 out of 5 stars,"4.0 out of 5 stars
Overall a great flagship phone to have
","
The product is one of the best in class and one of the best Android mobile phone.Pros:1. Excellent camera performance.2. Premium looks.3. Most handy to use with the aspect ratio  it has.4. Best performance with the high end  games running without lag.5. Best displays you can get for any phone.Cons:1. Battery performance is not that great  with Exynos processor. Snapdragon  would have been a great deal. Last for  just a day with moderate use. 7/102. Fingerprint sensor. 8/10
"
14,Samsung s20,5.0 out of 5 stars,"5.0 out of 5 stars
Light and beautiful phone, beautiful display
","
The phone is perfect for my use. The 120Hz display is obviously the highlight - it's so smooth, you have to see it to believe it. The camera is good enough, though I don't see it as a significant upgrade over my three-year old S8.  I see a lot of complaints on overheating but I have not experienced this - probably because I am not a heavy gamer. I have streamed videos for ~2 hours at a stretch though and have not seen any overheating. Performance-wise again, I have not found anything to complain about. Few cons I can think of:1. The fingerprint sensor is very hit and miss, compared to previous iterations2. The speaker is absolutely horrible. The earphones have great sound quality though.3. No 3.5mm earphone slot. I've gotten used to the USB-C earphones, but some people may consider this a miss, especially if you want to charge the phone and use earphones at the same time.
"
15,Samsung s20,5.0 out of 5 stars,"5.0 out of 5 stars
Killer flagship, one of its kind.
","
Display - amazingly awesome, 120Hz @  FHD+ and 60HZ @ QHD+Camera- best in market, beating every  mobile out there.Performace-  I am reviewing this after using the phone for over more than a monthExynos is the worst processor we have got in this flagship, it even cant with stand with snapdragon 660 SOC.Heats very much even at normal usage, which further drains the battery swiftly.And when you play any game over phone, you barely will be able to hold the phone as a result of immense heat from the phone.Also lagging issues i facing nowadays which were not there earlier.comparable to snapdragon 865 it is 30% slower in performance.I would recommend this phone only when you are getting snapdragon SD 865 with it.This is the very bad decision of Samsung by not selling the phones with SD-865 in Asian region.
"
16,Samsung s20,4.0 out of 5 stars,"4.0 out of 5 stars
Personal Opinion and Small Review
","
Honestly I was waiting for this phone for a while, transitioning from a moto g5+ to this after 3 years was a great change. Here's my personal opinion:Display 9/10: Would've loved the option for 1440p120hz.Camera 10/10: There's really nothing to complain about.Battery 8/10: Could be better honestly saying, it barely lasts enough.Performance 9/10: Few hiccups here and there but that's about it, I actually don't remember a lot about it.Build Quality 10/10: Again there's nothing to complain about.Overall 9/10: Not perfect but nothing ever is but I'm not disappointed in my purchase.
"
17,Samsung s20,5.0 out of 5 stars,"5.0 out of 5 stars
Best Android Camera Phone 2020
","
I bought Samsung s20 which I am enjoying very much. Its been 3-4 days that I have been using it and I found some of the pros and cons with this.I normally used for gaming and photography.  I am very happy with camera part but performance with Snapdragon  585 is better. 120hz display is super smooth, I am enjoying it the fullest.Other pros and cons are bellow what I have figured.ProsLovely screenA perfect sizeHuge camera improvements over the S10ConsThe fingerprint scanner is poor120Hz refresh rate drains batteryIt looks just like every other Samsung phoneKey FeaturesCPU: Snapdragon 865/Exynos 990Memory: 8/12GB RAMBattery capacity: 4000mAhInterface: OneUI 2.0Audio: no headphone jack5G? Yes - 4G/5G optionsDisplay: 6.2-inch 120Hz OLED QHD+ThanksPrateek
"
18,Samsung s20,4.0 out of 5 stars,"4.0 out of 5 stars
Great phone with few staggering issues
","
A big shout out to amazon customer care. My S20 had been facing a lot of heating issues and I was geeting a screen on time of not more 3 hours with minimal usage. My phone got repalced without any hassles.It has a great camera and screen but the unit which i had got does not make me confident on consistently of units being delivered by Samsung.Got the galaxy buds on pre order offer and thats great too.
"
19,Samsung s20,3.0 out of 5 stars,"3.0 out of 5 stars
Samsung saved it's money by not providing different slots for charge & earphones.
","
May be camera is great but saddest part is that you can either charge the phone or use wired earphone -. Just one port for both.Also cannot be charged by any type of power bank.Both end of charging cable are similar.So you need to carry with you this charging cable & plug always.
"
20,Samsung s20,4.0 out of 5 stars,"4.0 out of 5 stars
Better value for Money
","
This version is distinctly better than my earlier S9, though Samsung could have done more on the battery life is about 14 hours which is still less than iphone 11 where Apple is promising whole day use.Finger print reader in S9 was better as it had a groove to fit the finger well, where as in S20 need to press it multiple times to get it through. Perhaps a future software update can resolve this.The camera is very good and stable. Love it.
"
21,Samsung s20,5.0 out of 5 stars,"5.0 out of 5 stars
I not get warranty card and user manual
","
Review after 12 days phone is very nice and very fast charging and best display in thus segment very flagship looking and in feel the smart phone is very slim abd very slippery
"
22,Samsung s20,4.0 out of 5 stars,"4.0 out of 5 stars
S 20 lacks in being value for money
","
Phone look prety ordinary becauae as per immage M31 looks identical . If you have been using Samsung S-8 or 9 then you wont feel same comfort with its finger print reader. Battery life is good where as at this price it could have been better. I dont think it is value for money. It should have been priced around 40K
"
23,Samsung s20,4.0 out of 5 stars,"4.0 out of 5 stars
Good phone as expected from Samsung
","
The phone is ok with respect to performance and camera, but thats what is expected from a flagship product. For ne the biggest miss is the sensor in the back which can check your SPO2....till S10 we had that, now its gone....I didn't check much before buying, as I expected it to be there...
"
24,Samsung s20,4.0 out of 5 stars,"4.0 out of 5 stars
Best of the S20 series
","
Pros:• Great Camera• Best display among all the smartphones  available in the market• Top-notch build quality• Decent battery life• Super smooth UI due to 120 Hz refresh  rate• Very fast charging• light-weight• Great speakersCons:• Not recommended for heavy gaming• Fingerprint reader is not that fast
"
25,Samsung s20,1.0 out of 5 stars,"1.0 out of 5 stars
Heating and Battery Issue
","
Technical Inspection persons are in to money making in the name of getting you refund and Amazon make me run to customer service center with new mobile get it certified for fault of Heating (while talking and chargin) and battery draining issue.
"
26,Samsung s20,5.0 out of 5 stars,"5.0 out of 5 stars
BEST PHONE IF YOU DON'T WANT APPLE!
","
No heating issue. If you game then everyone's phone heats up.Exynos 990 is better in phography but bad at gaming which I don't do on my phone so no problem for me.SCREEN IS BEST IN 2020 WITH 564 PPI !its far better than one plus  if you want a premium phone, best camera and the phone which has a brand value comparable to Apple then go for it. DON'T JUDGE THIS PHONE UNTIL YOU USE IT.Screen on time is 7+ hrs in wqhd+ resolution.BEST BUY FOR ME AT 66K AND NO COST EMI.
"
27,Samsung s20,5.0 out of 5 stars,"5.0 out of 5 stars
Impressive mobile. Worth it.
","
The screen utility is till the edges and has edge too. More screen area is enjoyable. The mobile comes with a thin scratch guard which protects the screen.The mobile is light and the color is so young and reflective, it has panache. The stereo speakers and 4k display make the video experience more interesting.The battery life is adequate and long. I prefer this placement of fingerprint sensor over the previous models as the on screen sensor is more easily accessible.Added bonus was the discount on galaxy buds+. The mobile is worth the money. Go for it.
"
28,Samsung s20,1.0 out of 5 stars,"1.0 out of 5 stars
received damaged item
",
29,Samsung s20,5.0 out of 5 stars,"5.0 out of 5 stars
Review after 4 months of usage
","
1. Excellent display. Especially with the 120hz refresh rate2. Camera is really good, wide angle, pro mode, Slow motion, hyper lapse and night mode features are the best. Too much zoom doesn't offer much clarity but it's good3. Good battery life4. Heats up while playing heavy games but doesn't compromise on the quality of gaming. No lags whatsoever.5. Android updates will be received much later than the other Androids in the market like One plus, PixelMust buy if your budget is at 70k.
"
30,Samsung s20,4.0 out of 5 stars,"4.0 out of 5 stars
good product , can be better
","
Good screen  , excellent battery life , excellent speakersFingerprint scanner is good but I hope it could be fasterExonys chip suffers heating issues whenever I try to game on itBut overall good package,  especially if you can find a good deal on the device
"
31,Samsung s20,1.0 out of 5 stars,"1.0 out of 5 stars
Major heating problem!
","
Overall the phone is really good. But it heats up like anything. It heats up a lot within 10-15 minutes of normal use, without even using the heavier apps. After a point it heats up so much so that your fingers start burning and you can’t old the phone anymore. It’s BIG NO NO! Please don’t buy this. I got Samsung for the first time and had high expectations but over heating is a major issue and very disappointing from a phone like s20. But I’m thankful to amazon for their amazing customer care service that they sent a technician to check the phone and later I was able to return it. So don’t buy s20 at all.
"
32,Samsung s20,4.0 out of 5 stars,"4.0 out of 5 stars
Decent performance, could be better.
","
1. The fingerprint reader was a bit slow, but the new update have hugely resolthe issue.2. Battery drains out quickly with heavy usage. If this can be solved then nothing like it.3. The overall performance is pretty cool. Will give it 7.5 out of 10.
"
33,Samsung s20,4.0 out of 5 stars,"4.0 out of 5 stars
Great phone
","
Fingerprint reader is not upto the mark , but still better then before and everything else about the phone is good  , camera is really good and battery is also good . Loved this phone its really nice specially the UI of the phone .
"
34,Samsung s20,3.0 out of 5 stars,"3.0 out of 5 stars
not going to buy Samsung phones again.
","
Low performance. After using one plus 5, i moved to this phone. Disappointed with the performance and the bloated software. I am not going to buy Samsung phones again.
"
35,Samsung s20,5.0 out of 5 stars,"5.0 out of 5 stars
Excellent performance
","
Amazing performance  so far. Samsung  has really  given thorough thought to every aspect of the phone. Design  is flawless, sleek and compact but beautiful.  Very light weight, one can use it for hours without feeling  tension  in hands. All of the features  of the phone are really  user friendly.  Camera of this phone  is amazing and slow motion  capture feature is the best i have seen so far.
"
36,Samsung s20,5.0 out of 5 stars,"5.0 out of 5 stars
A Powerful Phone
","
This is one of the better phones Samsung has launched in in its S series. a big screen, with great features overall and a fantastic camera. Plus really great earphone accessories. Definitely worth the buy. The only 2 drawbacks are the common C type port for the USB plug in - it prevents me from charging the phone and plugging in my earphones at the same time, and the bland colour choices that samsung went with.
"
37,Samsung s20,5.0 out of 5 stars,"5.0 out of 5 stars
Awesome value for money phone..go for it
","
Got this phone as a gift on my birthday  and believe me this is the best phone i have ever used..previously i was using one plus 7,thinking one plus series is the best.but after using this phone for 3 weeks i can definitely say there is nothing better than samsung galaxy..Fingerprint sensor is quick .battery life is although 10-12 hrs if u work continuously on phone as i do..Go for it.this is definitely value for money...
"
38,Samsung s20,1.0 out of 5 stars,"1.0 out of 5 stars
jack of all trades is a master of none
","
HERE ARE THE BEST FEATURES . READ THE ENDWQHD+  - WOWREFRESH RATE 120 HZ - WOWFEATURES - WOW MANY FEATURESCAMERA - WOWVIDEO - WOWALWAYS ON DISPLAY - WOWNOW HERE IS THE JOKE. YOU CANT USE ANY OF THE ABOVE FEATURE BECAUSE THE BATTERY PERFORMACE IS VERY BAD . FOR GOOD BATTERY YOU WILL HAVE TO  SWITCH OFF ALL THE ABOVE FEATURES AND USE THIS PHONE AS NOKIA 3310.ALSO THE HEATS UP VERY BADLY  DUE TO EXYNOS PROCESSOR .FINAL VERDICT - DONT BUY
"
39,Samsung s20,4.0 out of 5 stars,"4.0 out of 5 stars
Critical one
","
Finger print reader: below average (4/10)Front camera: best in-class (10/10)Main camera: best in-class (9/10)Display: best in-class (10/10)Performance:Quite good (9/10)Battery life: good (8/10)Charging: Awesome (10/10)Overall it's a good phone with compact form factor (8/10)
"
40,Samsung s20,5.0 out of 5 stars,"5.0 out of 5 stars
Value for Money indeed!!
","
The overall phone and user experience is pretty good!The fingerprint scanner needs getting used to and is a lil unresponsive sometimes.The battery backup is good and let's me get through my day easily with about 4-5hrs of on screen timeThe 120Hz refresh rate is the highlight this phone has. The experience is awesome.Overall I can say this phone is value for money!
"
41,Samsung s20,5.0 out of 5 stars,"5.0 out of 5 stars
Great flagship
","
Phone feels premium. Camera is great, videos too, expected from a flagship. Performance is good, display is great. Battery life is also good. Fingerprint reader needs to be improved. It's not consistent.Good to see that micro sd card support is also there if incase need to increase capacity. Also being IP68 WATER RESISTANT is handy in rainy weathers taking photos or videos.
"
42,Samsung s20,3.0 out of 5 stars,"3.0 out of 5 stars
Great mobile with worst battery
","
Poor battery performanceI have ever seen in Samsung phone .Other is excellent
"
43,Samsung s20,5.0 out of 5 stars,"5.0 out of 5 stars
Fantastic in everything
","
If you own this phone, there is no need for anything else. Starting with camera, the ultra wide angle and the zoom in feature is fantastic. Phone performs really well with 60hz setup and 120hz only required if you are actually using your phone for office. 8gb Ram is enough for performing most of the functions. It has really taken the mobility of using mobile phone to another level.
"
44,Samsung s20,5.0 out of 5 stars,"5.0 out of 5 stars
Compact Handy and Superb display.
","
So, I am putting this review after using the phone for 3 months. Definitely, the display is class apart from rivals and120hz refresh rate is something which high in trend and I love it.Most importantly for me is the size of the phone. it's very compact and handy people who love the small phone, I highly recommend go with the Galaxy s20.
"
45,Samsung s20,2.0 out of 5 stars,"2.0 out of 5 stars
Just Terrible
","
This product is really not worth for the money . It should be priced below Rs 40k. Has the worst battery life I have ever seen and it heats up like anything . Anyone can use it to make food . It’s terrible. Worst phone I have ever used .
"
46,Samsung s20,5.0 out of 5 stars,"5.0 out of 5 stars
v nice
","
I shifted from iphone 6s to this beauty , its very nice UI provided by samsung phone is ultra smooth and 120hz display is just amazing and sound quality amplified with dolby atmos sounds amazing i even got the samsung buds plus at a discounted rate . Overall shifting from iphone to Android wasn't easy but it was worth it , with heavy usage battery can last upto a full day with still some percent left.
"
47,Samsung s20,5.0 out of 5 stars,"5.0 out of 5 stars
Best in the segment!!
","
Been an IPhone user all my life, moving to Samsung was a major jump. But this phone has way better features to explore compared to iPhone. Screen, camera, battery life all are way better than the iPhone xs I used to use. I would recommend this phone to everyone. Still lot to learn, so might update my comment a few months down the line.
"
48,Samsung s20,3.0 out of 5 stars,"3.0 out of 5 stars
good phone but needs perfection
","
Good phone but battery life and fingerprint reader needs to be improved
"
49,Samsung s20,3.0 out of 5 stars,"3.0 out of 5 stars
Not as expected considering the price.
","
Fingerprint reader is sluggish. The phone get pretty hot while using.
"
50,Samsung s20,5.0 out of 5 stars,"5.0 out of 5 stars
Samsung S20 - A winner
","
Size: fits perfectly in your hand.Camera: truly phenomenalRam: 8gb does wonders, there's no lag & apps open much faster.Looks: premiumIn box: a silicone back cover is included along with a protective film on screen comes pre fitted.Buds+: got them at a huge discount over mrp as part of pre booking offer.All in all a great buy.
"
51,Samsung s20,3.0 out of 5 stars,"3.0 out of 5 stars
Inadequate performance
","
Phone overheats a lot and lagging while playing games with 120Hz display refresh rate
"
52,Samsung s20,2.0 out of 5 stars,"2.0 out of 5 stars
Not a good flagship phone to buy
","
Lots and lots of Issues faced like1. Overheating even when using for video call never seen this in other mobiles.2. Not able to focus on nearby objects.3. Bty drains out in less then 20 hrs even when only used for regular activities.
"
53,Samsung s20,5.0 out of 5 stars,"5.0 out of 5 stars
Beast from Samsung
","
My first flagship phone. It's truly flagship in all areas.Awesome build quality.Great camera with different modes.Great shots in night.Clean and simple UI without any lag.Awesome experience playing pubg and fornite game.Sound quality is great with good stereo speakers.Charger wattage could have been more.Overall all great phone.
"
54,Samsung s20,5.0 out of 5 stars,"5.0 out of 5 stars
Awesome S20 - So far the best Samaung Phone
","
Well I wanted one plus 8 for my mother but after waiting for long and multiple missed attempt, I started looking for options.I have got this phone on amazing price, with credit card discount and spacial promotion, it is almost 12 thousand cheaper and needless to say, the touch, camera, User experience, battery life are impeccablehighly recommended
"
55,Samsung s20,5.0 out of 5 stars,"5.0 out of 5 stars
kick ass
","
Kick ass phone. It flies through almost anything you throw at it. Screen is absolutely stunning. 120hz is great. Camera is phenomenal.  Only drawback in the device for me is the battery. I barely manage to get an entire day, plus the phone tends to heat up often. One software patch, and we should be good to go.
"
56,Samsung s20,5.0 out of 5 stars,"5.0 out of 5 stars
JUST WOW!
","
JUST WOW!THIS PHONE IS THE BEST PHONE I HAVE SHIFTED FROM IPHONE 7 TO S20AND IT IS AWESOME AND ITS ALL ROUNDER A PERFECT SIZE, WATER RESISTANT, BEAUTIFUL CAMERA, PREMIUM LOOK ETC AND MANY OTHER THINGSI DONT HAVE WORDS TO DESCRIBE THIS PHONE BUTI CAN SAY THAT IT IS MOST SATISFYING MOBILE.......
"
57,Samsung s20,4.0 out of 5 stars,"4.0 out of 5 stars
An worthy upgrade
","
For me, it was a good upgrade from S7 egde. the update in technology and product was visibly good.
"
58,Samsung s20,4.0 out of 5 stars,"4.0 out of 5 stars
An amazing handy phone
","
A good handy phone with some good specs, Display is amazing.Heavy users might find battery life a bit concerning.
"
59,Samsung s20,1.0 out of 5 stars,"1.0 out of 5 stars
Defective handset. Frequent Voice drops.
","
From the time I started using it, voice (both incoming and outgoing voices) is dropping during the course of a call. I gave it to Samsung service center but they checked.and returned it saying there is no fault. I am still suffering with the problem. It is already 6 months since I bought the handset and I will soon run out of the warranty period. I want the handset replaced urgently.
"
60,Samsung s20,1.0 out of 5 stars,"1.0 out of 5 stars
Get set for Blurry Close-ups and Macro shots!
","
The camera of this phone suffers from a very fubdamental problem. In Auto mode, it is unable to focus on close objects (Less than 10 cm away). As a result all close up photographs are blurry and out of focus. This is a hardware issue that users are facing across the world, which cannot be addressed with a software update. What is the spending of Rs.70,000 on a flagship phone which cannot even get the basics right.
"
61,Samsung s20,5.0 out of 5 stars,"5.0 out of 5 stars
Nice
","
Very good camera gets blurry when taking closeup subject but it's due to large sensor size. After One UI 2.5 update heat issues have been decreased and now after PUBG 1.0 update I get constant 60fps on Smooth graphics only problem is Exynos 990 prosessor being slow and hot
"
62,Samsung s20,4.0 out of 5 stars,"4.0 out of 5 stars
Good Product, buy Samsung
","
It is a good product, one of it best by Samsung so far...
"
63,Samsung s20,4.0 out of 5 stars,"4.0 out of 5 stars
Average phone Galaxy S 20
","
Finger print reader is slow, battery life need to improve & camera quality is also need to improve.
"
