Unnamed: 0,Model,rating,title,review_text
10,Oneplus 11,5.0 out of 5 stars,"5.0 out of 5 stars
This phone is excellent and this second one OnePlus 11 super delivery
","
All good amazon
"
11,Oneplus 11,4.0 out of 5 stars,"4.0 out of 5 stars
The OnePlus 11 - A Marvel of Innovation!
","
I recently upgraded to the OnePlus 11, and I can confidently say that it's a masterpiece of a smartphone. OnePlus has once again outdone themselves with this exceptional device. Here are a few reasons why I'm absolutely thrilled with my purchase:Performance: The OnePlus 11 is an absolute powerhouse. With the latest Snapdragon processor, it effortlessly handles any task I throw at it, from gaming to multitasking. The speed and responsiveness are truly impressive, and it has made my daily activities more efficient than ever.Display: The display is a visual delight! The AMOLED panel is vibrant and sharp, offering stunning colors and deep blacks. Whether I'm watching videos, browsing the web, or playing games, the visuals are nothing short of breathtaking.Camera: The camera system on the OnePlus 11 is top-notch. It captures stunning photos with remarkable detail and clarity, even in low light conditions. The versatility of the camera with various shooting modes and features allows for creativity in photography like never before.Battery Life: The battery life on this phone is fantastic. I can go a full day without worrying about running out of power. The fast charging feature is a game-changer; a quick charge gives me hours of usage, and I'm ready to go in no time.OxygenOS: OnePlus's OxygenOS is known for its clean and intuitive user interface. The OnePlus 11 continues this tradition with a smooth and customizable Android experience that I love. Frequent updates ensure that the phone stays up-to-date and secure.Build Quality: The build quality of the OnePlus 11 is exceptional. It feels premium in hand with a solid build and a sleek design. The device is also 5G-ready, ensuring it's future-proofed for the evolving network technology.Value for Money: Considering the features and performance it offers, the OnePlus 11 is an excellent value for money. You get flagship-level performance without breaking the bank.In summary, the OnePlus 11 is a smartphone that ticks all the boxes for me. It's a true flagship device with remarkable performance, an outstanding display, impressive camera capabilities, and a design that screams premium. I couldn't be happier with my purchase, and I wholeheartedly recommend the OnePlus 11 to anyone in the market for a new smartphone. It's a true marvel of innovation that lives up to the OnePlus legacy of excellence!
"
12,Oneplus 11,5.0 out of 5 stars,"5.0 out of 5 stars
Nice phone
","
Nice phone
"
13,Oneplus 11,4.0 out of 5 stars,"4.0 out of 5 stars
Great Phone but Please fix BUGS Oneplus
","
The phone is really great. Let's know the pros and cons in place and Hope Oneplus team Fixes the Bugs in the software ASAP.PROS:- Great value for Money.- Great Camera and video recording.- Great Battery life.- Amazing Dolby atmos surround sound and don't need earpods while watching movies.- The curve screen feels best and has a good screen quality.- What a amazing Fast 100 W charger we have. Just go & take quick shower and it will charge 0-100% very fast.- Can play games like PUBG & Battleground Smoothly.CONS:- Notification drawer is such a pain. Gestures won't work on Notification panel to go back or swipe.- The phone automatically starts up if I had plugged in the charger during Power Off. It shouldn't automatically turn on.- Fingerprint senser is again a BIG PAIN. I have to manually unlock with Pattern or Face as Fingerprint senser unable to read even after multiple attempts. I have very clear prints on my fingers still performance is very bad. My Redmi phone reads fingerprints correctly and very fast. Oneplus pls fix this.- App Drawer sometime stucks. Swipe up should open all apps while Swipe Down should minimize app drawer but it doesn't works.- When Chrome is opened and I use Slider to Slient/Vibrate/Ringer then it automatically opens 'Find on Page' on chrome browser. Don't know how slider is also opening this.- I wasn't able to download Apps from Playstore in 5G so still confused it is Oneplus issue or JIO 5G issue.- The Torch is warm light, and It should turn on Both the flashes instead. Please give user the option.- When Close All apps it doesn't closes any application. When I again check about how many apps are opened in background so no apps are closed. I have to manually close each app.- I feel Ringtone of OnePlus is not loud enough in full volume. Kindly recheck.- The Phone feels Buggy and not smooth in Software experience. Would be great if Oneplus look into this feedback and resolve bugs and improvise the Phone experience.Thanks and Happy to Switch to Oneplus 11 5G. Thanks Amazon for faster & safe delivery.
"
14,Oneplus 11,4.0 out of 5 stars,"4.0 out of 5 stars
Good buy
","
I am always a loyal customer to one plus..happy with product price and performance
"
15,Oneplus 11,3.0 out of 5 stars,"3.0 out of 5 stars
Issues with one plus 11
","
Good products but facing lag+camera hanging,camera not work,app freezing,heating issues with our oneplus 11
"
16,Oneplus 11,5.0 out of 5 stars,"5.0 out of 5 stars
Truly amazing
","
Great phone, superior camera and awesome battery life. This phone is my first one plus phone. I generally use apple. I purchased for my wife. Till now all good
"
17,Oneplus 11,5.0 out of 5 stars,"5.0 out of 5 stars
Heating
","
Heating
"
18,Oneplus 11,3.0 out of 5 stars,"3.0 out of 5 stars
A below average flagship
","
I ordered my One Plus 11 in February 2023 with a lot of excitement as this was my 1st phone purchase after 3.5 years with my iPhone 11. One of the key factors for moving back to Android was the improved UI experience.However, OP 11 is one of the best examples of how the spec sheet doesn't always translate into a great phone in reality. Don't get me wrong OP11 has a lot of pros but also some frustrating cons that ruins the day to day experience. Let me explain below.UI: The Oxygen OS 13 is blazing fast and clutter free but also has loads of bugs, some of these got better with the latest software updates but also some got worse. To start with, the Always On Display doesn't always display the latest notification but repeatedly shows an old message which is absolutely useless. OP 11 didn't come with Android Auto at first but it was added in a software update later but somehow I'm not able to us the same in my car for the last 1 month.Fingerprint Sensor: Optical fingerprint sensor in OP 11 is quick but doesn't work even if your hand is a little sweaty or wet. I miss the rare mounted fingerprint sensor on my OP 5T.Cameras: Camera package sounds impressive looking at the spec sheet but the experience becomes underwhelming due to the poor software processing. Shutter speed is slow compared to my iPhone 11, white balance is inconsistent and human subjects turnout to be unnaturally bright. However, OP 11 takes some of the best nature & portrait shots, you get vivid colors, great HDR output and near perfect edge detection in both the main and 2x cam. Selfie cam takes bland but acceptable pics in daylight.Performance: This is where the spec sheet means business, be it app opening time, multi tasking or graphic intensive games, you're always covered. If performance is your what you're after, you'll never be disappointed.Battery: Battery charging is blazing fast. I get 20% to 100% charging by the time I finish my breakfast and I go through 24 hours before I need to plug it back so I don't care about the lack of wireless charging.I hope they improve the UI and photo processing performance soon as it really has a great hardware package.
"
19,Oneplus 11,3.0 out of 5 stars,"3.0 out of 5 stars
Don’t upgrade to this if you are already a oneplus user
","
All the oneplus models just looks the same and functions the same even after years. I have upgraded from oneplus 7 and did not find any difference.
"
20,Oneplus 11,3.0 out of 5 stars,"3.0 out of 5 stars
Disappointed
","
Writing this after 8 month of usage1. I bought this mainly for camera but disappointedCamera app applying some kind of filter after taking photo to your face even with good light !! My OnePlus 7 was better in terms of camera, low light performance is worstBattery: it charging faster and mobile is not heating much. But I fell like mobile is discharging  faster than any other phonePerformance: performance wise nothing is there to complain, good performance no lag no hanging at all.Memory: go for 256 gb,IT Will not support HDMI out using type c cable, even 30k samsung s21fe having it.Mobile fallen so many time and nothing happen so far, built quality is good.Not feeling worth for 56K
"
21,Oneplus 11,3.0 out of 5 stars,"3.0 out of 5 stars
Heating issue
","
I've been using this phone since 8 months, if you use any app for more than 30 mins phone starts heating. If you increase the brightness outside it starts heating in 10 mins. If I watch a video for more than 30 mins it starts heating. And also camera quality is so poor in low light condition, it whitens the people at low light, it's so annoying, there is no option to turn it off. By the way, if you use camera for 15 mins it starts heating. Might be a good phone during winter with all that warmth to handle.
"
22,Oneplus 11,3.0 out of 5 stars,"3.0 out of 5 stars
Not satisfied as per the price
","
Reviewing after 3 months use.As per the priceBack Camera is worst against lights.Front camera is still ok but it's also change colours of the skin too much.I have purchased 16gb variant and don't use any games or unnecessary apps but the phone still hangs and lags some time while normal uses.Display quality is good and best part is charging. It's too fast but discharging is also fast.Speakers are amazing.Ui is very good.
"
23,Oneplus 11,5.0 out of 5 stars,"5.0 out of 5 stars
Cant complain
","
Love it
"
24,Oneplus 11,4.0 out of 5 stars,"4.0 out of 5 stars
Runner up with iphone 14 but boss is always a boss
","
After a month's use I can say that I took wrong decision by returning iphone 14 plus to buy it in pre launch event.Boss is always a Boss. It is like student in the apple's class. It's like a silver in the begger's bag.It has screen sensitivity issue at both curves  i.e you have to press multiple times to write ""p "" & ""q"" and all character in that column. It heats sometime , in my case today was 2 nd times when kept under pillow. It's UI stacked once  within one month of use.Hassalblad camera is not that for which hype was made. In this segment camera hardware is for 48MP only and by making use of software it upscales the quality to 50MP that's why it takes time to process image at 50MP unlike at 48MP. I appreciate it's battery backup almost equivalent to iphone 14 plus which last almost 2 days with light to normal use. Charging speed is really high it charges full in almost 20 minutes (no deviation from specifications ). It should have wireless charging due to being at top in their hierarchy . OnePlus depict non-availability of wireless charging as it runs in the race to prouded themself to be at 2nd position. Do not get impressed by the YouTube review they do justice with the sponserd company and consumer equally. Hassalblad  is used only for USP, it just upscales the cost to divide and rule against iphone13 segment follower but it failed to impress those customers.
"
25,Oneplus 11,3.0 out of 5 stars,"3.0 out of 5 stars
Not Value for money in terms of software experience.
","
I am writing this review after using it for a week.What i find about the phone isPros-Undoubtedly It has great display.-Haptics are just superb-Charging speed is good it take 25 min to get 100% from 0-Smoothness and Ram management but ui bugs are there.-Back Camera is good colour improvement is still needed.Cons-Full of bugs screen always get stuck and blackout anytime and its too annoying to restart phone again and again.-Battery is getting drained faster-Even it has Snapdragon 8 gen 2 but it's fps gaming performance is worst than 15K phone.- 100% cpu usage and 10% gpu usage WTF is this?-It hardly able to maintain 60Fps in low settings-Camera is just descent no natural colour is there.-Front camera is stucked to 16MP not even able to record videos in 1080 60fps and colour are over saturated with warmer tone.-No wireless charging-No ip rating- Sometimes jittering in scrolling might be fixed with software update-No dolby vision support on speakers yet.These were few pros and cons about the phone it is good  in terms of hardware but software is worst and Oneplus has to fix all these stupid bugs and have to optimize there software integration so that hardware could be effectively used. Just waiting for software update to get all these things fixed.Don't buy this phone for gaming.  it's ui experience is worst. I would say go for 11R that's worth pricing.I will update my review if issues get fixed in updates.
"
26,Oneplus 11,5.0 out of 5 stars,"5.0 out of 5 stars
Ultimate performance with Decent Camera.
","




                    The media could not be loaded.
                



After 1 Month Usage.PERFORMANCE 10/10 : 60fps on Genshin on HIGHEST , refer to above video, I DIDN'T EVEN ENABLE HIGH PERFORMANCE MODE!!.it will crush any other Pubg/Cod/any chapri Lassan game .Snapdragon 8gen2 ,It can even do RealTime RayTracing but there is no game to take advantage of that .DISPLAY 10/10: everything is amazing except LTPO(most people don't even notice so don't worry).SOUND 9/10 : AmazingHAPTICS10/10 : Best in class.CAMERA DAYLIGHT 9.5/10: Better than all midrange(S21FE, NOTHING PHONE 2 etc) , but slightly worse than samsung(s22/23) & apple flagships .VIDEO DAYLIGHT 9/10: comparable to all flagship but slightly worse zoom/video features than s22/23 and iPhone.CAMERA NIGHT MODE 8.5/10 : refer to, two night images, it was near pitch black we couldn't even see our adjacent building, safe to say IT GOOD.VIDEO NIGHT MODE 8/10: same as above .BETTERY 10/10 : Just trust me , amazing battery life  And It charges 0-100 in UNDER 20MINS.STORAGE SPEED 10/10: better than any entry level flagship (ufs 4.1)(256gb). And ufs3.1(128gb)RAM: 8GB is enough that too LPDDR5X. I bought 16 Gb version.VERDICT: IF you want A phone that handles gaming like butter and have Decent Camera (better than any 40k phone(nothing 2, vivo , pixel7a etc) UNDER 60K (256GB) GO WITH OnePlus11IF YOU WANT BEST IN CLASS CAMERA:Go for Sd 8gen1 -> s22(40k on Flipkart,) or s23FE (60k wait for it to come down) or s23 75k or s22Ultra .Thank you for reading.
"
27,Oneplus 11,4.0 out of 5 stars,"4.0 out of 5 stars
Better value for money compared to Xiaomi, Samsung or Google flagships
","
I am not a gamer, nor a photo enthusiast, neither I use my phone for audio/video streaming. I am a pure tech enthusiast who loves to experience the latest tech.I wanted to upgrade from my 24 months old Oneplus 8T and I had two options- Oneplus 10 Pro or Oneplus 11. While Oneplus 10 Pro offered better charging capabilities(wireless) as well as IP68, yet I went with the later for the sheer reason of latest processor- which is the heart of any phone. I usually change my phone every 18-24 months because the technology becomes obsolete in this period.Oneplus 11 that I got works fast, but ridiculously, I don't notice much difference between 8T that I was using just a few days ago. May be over the time I will discover the difference. The screen is bit large and the phone is heavier. The screen is amazing since there is Dolby Vision in it with a staggering 525 ppi resolution density. Cameras are also different this time with Hasselblad color calibration, however, the camera theme color(orange) is weird and can't be changed. Expected our Indian, NavIC positioning system that was released two years back but Oneplus 11 doesn't have NavIC support.  The biggest difference I notice is the charging speed. Using my older 65W charger, and it juices up from 20 to 100% in 20-25 minutes, much faster than the Oneplus 8T that has lesser capacity of battery. Bundled a 100W charger with Oneplus 11, I don't know if I would be able to charge it efficiently in my car or any such place(without phone charger).Overall, a nice phone, priced decently. Offering everything a flagship should offer. Compared with Samsung S23(+), Pixel 7(pro) and Xiaomi 13 pro which offer similar specifications, I will prefer Oneplus 11- despite having the ColorOSed OxygenOS as the operating system, simply because of the price factor.
"
28,Oneplus 11,4.0 out of 5 stars,"4.0 out of 5 stars
Need offline music player
","
Offline music player must be pre-installed. Please give this facility in your next update. It will make your goodwill
"
29,Oneplus 11,4.0 out of 5 stars,"4.0 out of 5 stars
Excellent Product with Fantastic features!
","
Having invested on a flagship for the first time, i must say i am delighted. This is my first OnePlus device and i am writing this review after a month of usage:Pros:1.Battery life (1.5 days on normal usage- no gaming)2.Charging time (25 mins -10% to 100%)3. Excellent screen works great in sunlight with adaptive brightness4. Crazy fast processor and the 16 GB RAM is delighting...games do load really fast.5. Camera quality is a great highlight (works beautifully even in low light & captures excellent color reproduction in normal lightings.6. UI is light and feels quiet convenient. ( I was nervous about it ...since i was a long time MI user and switching from MiUI does make me nervous)Though not many cons but there were some essential features missed at this pricing...Cons:1. No IR blaster though the OnePlus 11r has it. That's a big disappointment.2. No 3.5mm jack :( ..this is a big disappointment...they could've easy fit one since the phone form factor is not slim.3. Though this is not a very big issue.....the phone does feel heavy due to large screen....even for someone like me who is 6ft+ and large hands. This gets worse with a casing on.  Doesn't easy fit in jeans pocket.44. No wireless charging for a flagship! :(Overall.. definitely a great deal to have. I think with this configuration and sturdy build...it should last my target life of next 3.5- 4 years. :)Well done OnePlus!
"
30,Oneplus 11,4.0 out of 5 stars,"4.0 out of 5 stars
Only chose it for the battery, charging and screen time.
","

Video Player is loading.Play VideoPlayMuteCurrent Time /Duration Loaded: 0%Stream Type LIVESeek to live, currently behind liveLIVERemaining Time - 1xPlayback RateChaptersChaptersDescriptionsdescriptions off, selectedCaptionscaptions off, selectedAudio Trackdefault, selectedFullscreenThis is a modal window.


The fast charging capability is something I genuinely appreciate about this phone, great SOT too. Good bright colors on the screen. But camera is something that you won't feel appreciative of. Portrait is great and 2X and 5X options are good too. Otherwise, the camera is pretty generic and I expected better. And a flagship phone shouldn't lag the way it does at times. S23, Pixel 7/8, iPhone 14 are a better bet at this price of camera is your only concern. Rest, if you need fast charging capability, then make peace with this device. It'll grow on you.
"
